task,raw_input,input,output,raw_output
acsa,"Mới mua được 1 ngày. Ck dùng j6+, còn mình dùng con này. Wifi ck m lúc nào cũng 3 vạch, mà dt này thì lúc 2 vạch , lúc 1 vạch, lúc đứng luôn. K hieur vì sao nữa. Dùng thấy bực mình.","mới mua được num ngày . chồng dùng j num + , còn mình dùng con này . wifi chồng mình lúc nào cũng num vạch , mà dt này thì lúc num vạch , lúc num vạch , lúc đứng luôn . không hieur vì sao nữa . dùng thấy bực mình .",tính năng tệ,"{FEATURES, negative}"
acsa,Dùng thì cứ đơ máy bấm mãi mới khởi động lại song nóng ran lên chán ko buồn nói kêu bảo hành phần mềm chọn đời mà dùng chưa dc đã hỏng,dùng thì cứ đơ máy bấm mãi mới khởi động lại song nóng ran lên chán không buồn nói kêu bảo hành phần mềm chọn đời mà dùng chưa được đã hỏng,hiệu suất tệ,"{PERFORMANCE, negative}"
acsa,"Lỗi phầm mềm , sạc pin ko vào , đem ra bảo trì thì cài lại máy ._. Vẫn ko hết lỗi , mua quả máy 4tr100k ram 3gb về để chơi pubg lag vãi chưởng","lỗi phầm mềm , sạc pin không vào , đem ra bảo trì thì cài lại máy . _ . vẫn không hết lỗi , mua quả máy num tr giá tiền ram num gb về để chơi pubg lag vãi chưởng",pin tệ và hiệu suất tệ và giá tiền tạm,"{BATTERY, negative}, {PERFORMANCE, negative}, {PRICE, neutral}"
acsa,Máy dùng tốt với tầm giá khá nhanh nhạy pin trâu lần đâu tiên mua máy chưa tới 2tr mà ưng ghê luôn á mọi người nên mua,máy dùng tốt với tầm giá khá nhanh nhạy pin trâu lần đâu tiên mua máy chưa tới num tr mà ưng ghê luôn á mọi người nên mua,pin tốt và hiệu suất tốt và giá tiền tạm và nói chung tốt,"{BATTERY, positive}, {PERFORMANCE, positive}, {PRICE, neutral}, {GENERAL, positive}"
acsa,Sạc pin 100% r để k 10h mà k hao % nào mà s mọi người cứ kêu hao pin nhanh là s nhỉ mình thasy pin rất trâu lun,sạc pin num % rồi để không num h mà không hao % nào mà s mọi người cứ kêu hao pin nhanh là s nhỉ mình thasy pin rất trâu lun,pin tốt,"{BATTERY, positive}"
acsa,Cho mình hỏi tắt quảng cáo trên điện thoại ạ . Mới mua về vài hôm mà nó cứ tụ phát quảng cáo hoài ngày khi mình đã khoá màn hình cũng chạy quảng cáo . Mong được phản hồi,cho mình hỏi tắt quảng cáo trên điện thoại ạ . mới mua về vài hôm mà nó cứ tụ phát quảng cáo hoài ngày khi mình đã khoá màn hình cũng chạy quảng cáo . mong được phản hồi,hiệu suất tệ,"{PERFORMANCE, negative}"
acsa,"Tất cả mọi thứ đều ổn hết: màn hình đẹp, máy chạy êm, pin sạc nhanh, màu mặt lưng đẹp. Nhưng chỉ tiết ở phần thiết kế, phải chi loa ngoài được đặt ở bên hông thay vì đặt ở cạnh dưới như vầy. Tay cứ bị đè lên loa khi sử dụng í, cứ lo chính bản thân đè nhiều quá sẽ làm loa hư. Thêm 1 cái nhỏ xíu xiu : mới mua hôm qua được giảm 500.000đ, nay lên xem tuột xuống đươc giảm hẳn 1.000.000đ. Tức ghê 🥴🥴","tất cả mọi thứ đều ổn hết : màn hình đẹp , máy chạy êm , pin sạc nhanh , màu mặt lưng đẹp . nhưng chỉ tiết ở phần thiết kế , phải chi loa ngoài được đặt ở bên hông thay vì đặt ở cạnh dưới như vầy . tay cứ bị đè lên loa khi sử dụng í , cứ lo chính bản thân đè nhiều quá sẽ làm loa hư . thêm num cái nhỏ xíu xiu : mới mua hôm qua được giảm num . num đ , nay lên xem tuột xuống đươc giảm hẳn num . num . num đ . tức ghê 🥴",màn hình tốt và pin tốt và hiệu suất tốt và thiết kế tạm và giá tiền tệ và nói chung tốt,"{SCREEN, positive}, {BATTERY, positive}, {PERFORMANCE, positive}, {DESIGN, neutral}, {PRICE, negative}, {GENERAL, positive}"
acsa,"điện thoại thiết kế sang trọng, cameraa chụp ảnh rất tốt, pin dùng ổn định, máy dùng mượt, không bị đơ","điện thoại thiết kế sang trọng , camera chụp ảnh rất tốt , pin dùng ổn định , máy dùng mượt , không bị đơ",máy ảnh tốt và pin tốt và hiệu suất tốt và thiết kế tốt,"{CAMERA, positive}, {BATTERY, positive}, {PERFORMANCE, positive}, {DESIGN, positive}"
acsa,"Máy màn hình lớn , nhận diện khuôn mặt nhanh ( trong đk trời sáng ) ,cấu hình tạm ổn cho các tác vụ cơ bản , pin trâu ,...NV TGDD Nhiệt Tình . Còn CTKM tặng tai nghe thì TGDD chưa làm tốt , ra mua máy thì chi nhánh tai nghe khg có hàng , phải đợi 10-15 ngày ( TGDD rút kinh nghiệm về các CTKM kiểu như vậy )","máy màn hình lớn , nhận diện khuôn mặt nhanh ( trong được trời sáng ) , cấu hình tạm ổn cho các tác vụ cơ bản , pin trâu , nhân viên tgd nhiệt tình . còn ctkm tặng tai nghe thì tgd chưa làm tốt , ra mua máy thì chi nhánh tai nghe không có hàng , phải đợi num - num ngày ( tgd rút kinh nghiệm về các ctkm kiểu như vậy )",màn hình tốt và tính năng tốt và pin tốt và hiệu suất tạm và phục vụ với phụ kiện tạm,"{SCREEN, positive}, {FEATURES, positive}, {BATTERY, positive}, {PERFORMANCE, neutral}, {SER_ACC, neutral}"
acsa,Pin trâu . Giá rẻ. Cấu hình ngon . Mượt mà . Máy chơi game rất tốt . Nhân viên tư vấn nhiệt tình,pin trâu . giá rẻ . cấu hình ngon . mượt mà . máy chơi game rất tốt . nhân viên tư vấn nhiệt tình,pin tốt và hiệu suất tốt và giá tiền tốt và phục vụ với phụ kiện tốt,"{BATTERY, positive}, {PERFORMANCE, positive}, {PRICE, positive}, {SER_ACC, positive}"
acsa,"Không nên mua, không tương xứng trong cùng phân khúc, chụp ảnh kém mờ, được mỗi pin trâu .","không nên mua , không tương xứng trong cùng phân khúc , chụp ảnh kém mờ , được mỗi pin trâu .",máy ảnh tệ và pin tốt và giá tiền tạm và nói chung tệ,"{CAMERA, negative}, {BATTERY, positive}, {PRICE, neutral}, {GENERAL, negative}"
acsa,"Cập nhật lại ổn nhưng camera xấu xấu tệ, hy vọng cập nhật lại camera tốt hơn cho bản sau","cập nhật lại ổn nhưng camera xấu xấu tệ , hy vọng cập nhật lại camera tốt hơn cho bản sau",máy ảnh tệ và hiệu suất tốt,"{CAMERA, negative}, {PERFORMANCE, positive}"
acsa,Mới dùng đc tầm nửa tháng thấy khá là OK mượt Chơi game mức độ mặc định cũng OK pin đc lâu sạc nhanh,mới dùng được tầm nửa tháng thấy khá là ok mượt chơi game mức độ mặc định cũng ok pin được lâu sạc nhanh,pin tốt và hiệu suất tốt và nói chung tốt,"{BATTERY, positive}, {PERFORMANCE, positive}, {GENERAL, positive}"
acsa,"Mình mua máy samsung a20s được 4 ngày rồi. Nói chung máy xài ổn trong tầm giá, pin trâu nếu không chơi game thì xài được 2 đến 3 ngày còn chơi game như liên quân thì tầm 1 ngày. Chụp hình đẹp, máy rất mượt. Chỉ có lâu lâu cảm biến vân tay không được nhạy, ngón tay hơi ướt xíu là máy không nhận được vân tay luôn, không có ốp lưng nên xài hơi bị xót xíu ( mình làm trong môi trường chăn nuôi bụi cám này kia nhiều ).","mình mua máy samsung a num s được num ngày rồi . nói chung máy xài ổn trong tầm giá , pin trâu nếu không chơi game thì xài được num đến num ngày còn chơi game như liên quân thì tầm num ngày . chụp hình đẹp , máy rất mượt . chỉ có lâu lâu cảm biến vân tay không được nhạy , ngón tay hơi ướt xíu là máy không nhận được vân tay luôn , không có ốp lưng nên xài hơi bị xót xíu ( mình làm trong môi trường chăn nuôi bụi cám này kia nhiều ) .",máy ảnh tốt và tính năng tệ và pin tốt và hiệu suất tốt và giá tiền tạm và nói chung tốt và phục vụ với phụ kiện tệ,"{CAMERA, positive}, {FEATURES, negative}, {BATTERY, positive}, {PERFORMANCE, positive}, {PRICE, neutral}, {GENERAL, positive}, {SER_ACC, negative}"
acsa,Tại sao thì thoảng tôi mở máy thì phải đợi 5-10s thì màn hình mới lên nó làm tôi thấy khó chịu còn lại thì ok,tại sao thì thoảng tôi mở máy thì phải đợi num - num s thì màn hình mới lên nó làm tôi thấy khó chịu còn lại thì ok,hiệu suất tệ và nói chung tốt,"{PERFORMANCE, negative}, {GENERAL, positive}"
acsa,"iphone luôn ổn định, thiết kế không có gì mới nhưng vẫn chưa lỗi thời, mình chưa được cầm con iphone nào nhưng mình nghĩ pin của nó đủ xài trong ngày, bạn nào bảo pin nó yếu là do một ngày xài quá nhiều thôi, thích iphone từ lâu mỗi tội tài chính eo hẹp, đang tich góp để cuối năm rước một e zìa quê luôn.","iphone luôn ổn định , thiết kế không có gì mới nhưng vẫn chưa lỗi thời , mình chưa được cầm con iphone nào nhưng mình nghĩ pin của nó đủ xài trong ngày , bạn nào bảo pin nó yếu là do một ngày xài quá nhiều thôi , thích iphone từ lâu mỗi tội tài chính eo hẹp , đang tich góp để cuối năm rước một em zìa quê luôn .",pin tạm và thiết kế tạm và nói chung tốt và phục vụ với phụ kiện tốt,"{BATTERY, neutral}, {DESIGN, neutral}, {GENERAL, positive}, {SER_ACC, positive}"
acsa,Đã mua và đag dùng rất thất vọng camera mờ hay nổi quảng cáo.pin xuống rraats nhanh. Khuyên mọi người đừng mua..,đã mua và đang dùng rất thất vọng camera mờ hay nổi quảng cáo . pin xuống rats nhanh . khuyên mọi người đừng mua . .,máy ảnh tệ và pin tệ và hiệu suất tệ và nói chung tệ,"{CAMERA, negative}, {BATTERY, negative}, {PERFORMANCE, negative}, {GENERAL, negative}"
acsa,Lỗi lưu ảnh và viền 4 góc sáng . Khá là bực. Mong Xiaomi việt nam sớm có cách khắc phục,lỗi lưu ảnh và viền num góc sáng . khá là bực . mong xiaomi việt nam sớm có cách khắc phục,màn hình tệ và tính năng tệ và phục vụ với phụ kiện tạm,"{SCREEN, negative}, {FEATURES, negative}, {SER_ACC, neutral}"
acsa,"Tôi nghĩ rằng nó được 4 star với 1,2tr tầm giá rẻ rách, nếu như đường truyền không chập chờn thì nó sẽ được tôi đánh giá 5 star.","tôi nghĩ rằng nó được num star với num , num tr tầm giá rẻ rách , nếu như đường truyền không chập chờn thì nó sẽ được tôi đánh giá num star .",tính năng tệ và giá tiền tốt,"{FEATURES, negative}, {PRICE, positive}"
acsa,"Máy dùng ok, chỉ cài khóa mk, vân tay khuôn mặt rồi mà khi mở lại ko cần, vuốt là mở đc, còn lại ổn, bluetooth bình thường pin lâu, nhạc hay..","máy dùng ok , chỉ cài khóa mình , vân tay khuôn mặt rồi mà khi mở lại không cần , vuốt là mở được , còn lại ổn , bluetoth bình thường pin lâu , nhạc hay . .",tính năng tạm và pin tốt và nói chung tốt,"{FEATURES, neutral}, {BATTERY, positive}, {GENERAL, positive}"
acsa,Tgdd tôi không còn tin tưởng nữa rồi một hệ thống bán lẻ điện thoại lớn nhất vn tôi mới mua tại cửa hàng số 473 đường Kính Dương Vương làm tôi quá thất vọng cảm giấc như mình bị lừa thất vọng vô cùng luôn chắc phải chuyển qua hệ thống khác thôi,tgd tôi không còn tin tưởng nữa rồi một hệ thống bán lẻ điện thoại lớn nhất việt nam tôi mới mua tại cửa hàng số num đường kính dương vương làm tôi quá thất vọng cảm giấc như mình bị lừa thất vọng vô cùng luôn chắc phải chuyển qua hệ thống khác thôi,phục vụ với phụ kiện tệ,"{SER_ACC, negative}"
acsa,Máy chs game khá mượt.pin trâu mọi vấn đề đều ok sản phẩm trong tầm giá này là quá tuyệt vời *****,máy chs game khá mượt . pin trâu mọi vấn đề đều ok sản phẩm trong tầm giá này là quá tuyệt vời star star star star star,pin tốt và hiệu suất tốt và giá tiền tạm và nói chung tốt,"{BATTERY, positive}, {PERFORMANCE, positive}, {PRICE, neutral}, {GENERAL, positive}"
acsa,"Điện thoại đẹp, màn hình rõ, nghe gọi OK, chụp hình cũng đẹp, giá tầm này thì quá OK rồi. nhân viên TGDD thoại sơn an giang thì cực kỳ dễ thương luôn 🥰🥰🥰","điện thoại đẹp , màn hình rõ , nghe gọi ok , chụp hình cũng đẹp , giá tầm này thì quá ok rồi . nhân viên tgd thoại sơn an giang thì cực kỳ dễ thương luôn tốt tốt tốt",màn hình tốt và máy ảnh tốt và tính năng tốt và thiết kế tốt và giá tiền tốt và phục vụ với phụ kiện tốt,"{SCREEN, positive}, {CAMERA, positive}, {FEATURES, positive}, {DESIGN, positive}, {PRICE, positive}, {SER_ACC, positive}"
acsa,"Xài ok, máy mượt, chụp ảnh đẹp, sạc nhanh mà sao nhiều bạn chê tào lao quá. Pin 4k mà xài 1 ngày vầy là tốt rồi","xài ok , máy mượt , chụp ảnh đẹp , sạc nhanh mà sao nhiều bạn chê tào lao quá . pin giá tiền mà xài num ngày vầy là tốt rồi",máy ảnh tốt và pin tốt và hiệu suất tốt và nói chung tốt,"{CAMERA, positive}, {BATTERY, positive}, {PERFORMANCE, positive}, {GENERAL, positive}"
acsa,"Với s20 ultra mức giá này bằng với Oppo find x2 thì nên mua find x2 vì Oppo hơn hẳn con ultra về cấu hình, màn hình, pin và tốc độ sạc. Ultra chỉ hơn được về chụp ảnh thôi, còn Oppo find x2 max mượt, max phê","với s num ultra mức giá này bằng với opo find x num thì nên mua find x num vì opo hơn hẳn con ultra về cấu hình , màn hình , pin và tốc độ sạc . ultra chỉ hơn được về chụp ảnh thôi , còn opo find x num siêu mượt , siêu phê",màn hình tệ và máy ảnh tốt và pin tệ và hiệu suất tệ và phục vụ với phụ kiện tệ,"{SCREEN, negative}, {CAMERA, positive}, {BATTERY, negative}, {PERFORMANCE, negative}, {SER_ACC, negative}"
acsa,Máy mới mua về xài được 10 bựa tự tiện bị đo treo logo 10p sau mới khỏi ding lại được. Tính năng chụp màn hình nứt nguồn với giảm âm lượng không chụp được,máy mới mua về xài được num bựa tự tiện bị đo treo logo num p sau mới khỏi ding lại được . tính năng chụp màn hình nứt nguồn với giảm âm lượng không chụp được,tính năng tệ và hiệu suất tệ,"{FEATURES, negative}, {PERFORMANCE, negative}"
acsa,"Sau 1 tuần sử dụng thì mình đánh giá như sau, về camera thì thấy cũng bình thường, cam truớc không được tốt lắm. Cấu hình không bằng con Vsmart 5tr. Máy đẹp, nhẹ, mỏng. Pin cũng tạm, mỗi ngày sạc pin 1 lần. Bạn nào mua vì màn đẹp vs camera thì nên mua. Còn mua để chơi game thì ko nên lựa","sau num tuần sử dụng thì mình đánh giá như sau , về camera thì thấy cũng bình thường , cam truớc không được tốt lắm . cấu hình không bằng con vsmart num tr . máy đẹp , nhẹ , mỏng . pin cũng tạm , mỗi ngày sạc pin num lần . bạn nào mua vì màn đẹp với camera thì nên mua . còn mua để chơi game thì không nên lựa",màn hình tốt và máy ảnh tạm và pin tạm và hiệu suất tệ và thiết kế tốt,"{SCREEN, positive}, {CAMERA, neutral}, {BATTERY, neutral}, {PERFORMANCE, negative}, {DESIGN, positive}"
acsa,Sản phẩm đẹp. Tuyệt vời. Hi vọng trong qtrinh sd k xảy ra lỗi. Nv nhiệt tình. Ms,sản phẩm đẹp . tuyệt vời . hi vọng trong qtrinh sd không xảy ra lỗi . nhân viên nhiệt tình . ms,thiết kế tốt và phục vụ với phụ kiện tốt,"{DESIGN, positive}, {SER_ACC, positive}"
acsa,"Mua lâu rồi. vân tay quá kém dí mãi mới mở đc, chơi game (vd liên quân) thì cảm ứng ko nhạy rất kém, máy thì rất nóng nên thỉnh thoảng bị đơ 1 tý ( ko phải do mạng hay fps)lúc chơi , loa ngoài chơi game khá nhỏ. Nếu bạn nào hay chô game nên chọn con khác chứ con này sang chảnh thì đc.","mua lâu rồi . vân tay quá kém dí mãi mới mở được , chơi game ( vd liên quân ) thì cảm ứng không nhạy rất kém , máy thì rất nóng nên thỉnh thoảng bị đơ num tý ( không phải do mạng hay fps ) lúc chơi , loa ngoài chơi game khá nhỏ . nếu bạn nào hay chô game nên chọn con khác chứ con này sang chảnh thì được .",tính năng tệ và hiệu suất tệ và thiết kế tốt,"{FEATURES, negative}, {PERFORMANCE, negative}, {DESIGN, positive}"
acsa,"máy rất ok,mượt,chơi game quá đỉnh.có đều pin hơi tụt nhưng cho là ok.vừa vs túi tiền ok.","máy rất ok , mượt , chơi game quá đỉnh . có đều pin hơi tụt nhưng cho là ok . vừa với túi tiền ok .",pin tạm và hiệu suất tốt và giá tiền tốt và nói chung tệ,"{BATTERY, neutral}, {PERFORMANCE, positive}, {PRICE, positive}, {GENERAL, negative}"
acsa,Note10 . Bin rất tệ. Máy ko xài vẫn tuột phần trăm. Vừa sạt đầy 100% pin. Để đó ko xài từ ság tới tối về nhìn lại còn 40% vậy 60% pin kia ko làm dì mà sao mất nhỉ. Máy mua dk 1 tuần rồi. Pin rất tệ,note num . bin rất tệ . máy không xài vẫn tuột phần trăm . vừa sạt đầy num % pin . để đó không xài từ ság tới tối về nhìn lại còn num % vậy num % pin kia không làm dì mà sao mất nhỉ . máy mua được num tuần rồi . pin rất tệ,pin tệ,"{BATTERY, negative}"
acsa,mình vừa mua dùng chơi game thì khỏi nói nhưng còn về xem phim trên youtube bật SD rất mờ so với điện thoại khác bật SD,mình vừa mua dùng chơi game thì khỏi nói nhưng còn về xem phim trên youtube bật sd rất mờ so với điện thoại khác bật sd,màn hình tệ và hiệu suất tốt,"{SCREEN, negative}, {PERFORMANCE, positive}"
acsa,Máy rất xịn Thứ nhất : chơi game mượt với chíp snap Thứ hai : pin trâu xài cả ngày mà còn 50% Thư ba : màn hình đẹp chụp hình sáng,máy rất xịn thứ nhất : chơi game mượt với chíp snap thứ hai : pin trâu xài cả ngày mà còn num % thư ba : màn hình đẹp chụp hình sáng,màn hình tốt và máy ảnh tốt và pin tốt và hiệu suất tốt và nói chung tốt,"{SCREEN, positive}, {CAMERA, positive}, {BATTERY, positive}, {PERFORMANCE, positive}, {GENERAL, positive}"
acsa,"Sp tuyệt vời chắt mua em nó quá... Vì chán hàng made in China rồi, người Việt dùng hàng Việt.","sản phẩm tuyệt vời chắt mua em nó quá vì chán hàng khiến in china rồi , người việt dùng hàng việt .",nói chung tốt và phục vụ với phụ kiện tốt,"{GENERAL, positive}, {SER_ACC, positive}"
acsa,"Mọi thứ xài thì khá ok, chỉ có pin tuột nhanh kinh khủng, không xài cũng tuột 100% chực được 5p là còn 95% ý là không chưa game đó","mọi thứ xài thì khá ok , chỉ có pin tuột nhanh kinh khủng , không xài cũng tuột num % chực được num p là còn num % ý là không chưa game đó",pin tệ và nói chung tốt,"{BATTERY, negative}, {GENERAL, positive}"
